video,frame,pedestrian_id,x1,y1,x2,y2,label
video_0001,1013,1_1_1,916.82,793.32,929.18,847.11,0
video_0001,1014,1_1_1,920.92,792.1,933.54,850.51,0
video_0001,1015,1_1_1,924.42,796.04,937.32,853.9,0
video_0001,1016,1_1_1,927.93,799.98,941.09,857.3,0
video_0001,1017,1_1_1,931.44,802.09,946.4,858.5,0
video_0001,1018,1_1_1,937.3,807.86,951.0,864.1,0
video_0001,1019,1_1_1,942.08,813.1,954.54,868.25,0
video_0001,1020,1_1_1,943.12,815.67,957.1,871.6,0
video_0001,1021,1_1_1,946.29,818.38,961.3,874.7,0
video_0001,1022,1_1_1,949.46,821.09,963.82,877.52,0
video_0001,1023,1_1_1,952.64,823.8,966.34,880.33,0
video_0001,1024,1_1_1,954.76,826.0,969.2,883.6,0
video_0001,1025,1_1_1,958.85,826.31,974.1,884.32,0
video_0001,1026,1_1_1,962.95,826.62,979.0,885.04,0
video_0001,1027,1_1_1,967.04,826.93,983.9,885.76,0
video_0001,1028,1_1_1,970.16,829.82,987.14,889.05,0
video_0001,1029,1_1_1,975.22,827.55,992.3,887.2,0
video_0001,1030,1_1_1,979.98,828.27,998.3,887.91,0
video_0001,1031,1_1_1,984.37,826.78,1002.38,886.42,0
video_0001,1032,1_1_1,988.75,825.29,1006.45,884.94,0
video_0001,1033,1_1_1,993.13,826.17,1010.52,885.81,0
video_0001,1034,1_1_1,999.01,831.11,1016.09,890.76,0
video_0001,1035,1_1_1,1002.99,827.02,1020.3,887.38,0
video_0001,1036,1_1_1,1007.61,825.99,1025.15,887.06,0
video_0001,1037,1_1_1,1012.23,824.95,1030.0,886.74,0
video_0001,1038,1_1_1,1016.85,823.91,1034.85,886.42,0
video_0001,1039,1_1_1,1021.47,822.88,1039.7,886.1,0
video_0001,1040,1_1_1,1026.23,822.35,1044.68,886.68,0
video_0001,1041,1_1_1,1030.99,821.82,1049.66,887.26,0
video_0001,1042,1_1_1,1035.75,821.28,1054.64,887.84,0
video_0001,1043,1_1_1,1040.51,820.75,1059.62,888.42,0
video_0001,1044,1_1_1,1045.27,820.22,1064.6,889.0,0
video_0001,1045,1_1_1,1050.83,820.41,1070.15,889.5,0
video_0001,1046,1_1_1,1056.38,820.6,1075.7,890.0,0
video_0001,1047,1_1_1,1061.93,820.78,1081.25,890.51,0
video_0001,1048,1_1_1,1067.49,820.97,1086.8,891.01,0
video_0001,1049,1_1_1,1072.4,819.55,1091.7,889.9,0
video_0001,1050,1_1_1,1077.47,818.97,1097.04,890.22,0
video_0001,1051,1_1_1,1082.54,818.39,1102.38,890.54,0
video_0001,1052,1_1_1,1087.61,817.82,1107.72,890.86,0
video_0001,1053,1_1_1,1092.68,817.24,1113.06,891.18,0
video_0001,1054,1_1_1,1097.75,816.66,1118.4,891.5,0
video_0001,1055,1_1_1,1102.55,817.1,1123.12,892.44,0
video_0001,1056,1_1_1,1107.36,817.55,1127.84,893.38,0
video_0001,1057,1_1_1,1112.16,817.99,1132.56,894.32,0
video_0001,1058,1_1_1,1116.97,818.44,1137.28,895.26,0
video_0001,1059,1_1_1,1121.77,818.88,1142.0,896.2,0
video_0001,1060,1_1_1,1125.99,818.57,1146.26,896.56,0
video_0001,1061,1_1_1,1130.22,818.26,1150.52,896.92,0
video_0001,1062,1_1_1,1134.44,817.95,1154.78,897.28,0
video_0001,1063,1_1_1,1138.67,817.64,1159.04,897.64,0
video_0001,1064,1_1_1,1142.89,817.33,1163.3,898.0,0
video_0001,1065,1_1_1,1147.11,816.77,1168.14,899.03,0
video_0001,1066,1_1_1,1151.34,816.2,1172.98,900.06,0
video_0001,1067,1_1_1,1155.56,815.64,1177.83,901.1,0
video_0001,1068,1_1_1,1159.79,815.07,1182.67,902.13,0
